real,user,sys
0.883,6.469,0.000
1.005,7.266,0.000
0.852,6.297,0.016
0.991,7.375,0.000
0.900,6.359,0.000
0.972,7.016,0.000
9,10000000,
0.991,7.109,0.000
0.948,6.594,0.000
0.999,7.359,0.000
0.875,6.094,0.000
0.906,6.250,0.016
0.891,6.250,0.000
0.930,6.734,0.000
0.886,6.406,0.000
1.015,7.188,0.000
0.934,6.969,0.016
9,100000000,
0.936,6.828,0.000
0.920,6.750,0.000
0.950,7.250,0.000
0.893,6.641,0.016
1.007,7.063,0.016
0.968,7.125,0.000
0.944,7.016,0.000
0.984,7.016,0.016
0.919,6.641,0.016
0.914,6.516,0.000
10,1,
3.086,6.250,17.328
3.087,6.469,17.375
3.166,5.641,18.828
3.049,5.609,17.906
3.083,5.953,17.813
3.133,6.297,18.391
3.072,6.016,17.703
3.123,6.250,18.094
2.992,5.984,17.188
3.102,5.953,18.297
10,10,
1.110,6.719,1.453
1.014,6.313,1.469
1.029,6.406,1.313
1.043,6.313,1.594
1.040,5.969,1.594
1.011,6.063,1.672
1.035,6.422,1.281
1.030,6.188,1.609
1.025,6.047,1.625
1.090,6.547,1.641
10,100,
0.911,6.375,0.031
0.905,6.656,0.000
0.899,6.594,0.031
0.939,6.797,0.016
0.855,6.219,0.016
0.906,6.594,0.000
0.858,5.969,0.016
0.981,7.000,0.031
0.955,7.078,0.016
0.910,6.656,0.016
10,1000,
0.924,6.797,0.000
1.007,6.781,0.000
0.933,6.703,0.000
0.946,6.750,0.000
1.007,7.250,0.000
0.938,6.688,0.000
0.914,6.500,0.016
0.884,6.219,0.000
0.911,6.781,0.016
0.898,6.391,0.031
10,10000,
0.921,6.750,0.000
0.942,6.563,0.016
0.923,6.766,0.016
0.927,6.641,0.000
0.838,6.250,0.000
0.972,6.766,0.016
0.962,6.922,0.000
0.947,6.906,0.016
0.851,6.094,0.000
0.921,6.906,0.000
10,100000,
0.879,6.375,0.000
0.983,6.828,0.016
0.937,6.797,0.000
0.917,6.781,0.016
0.846,6.016,0.000
0.885,6.641,0.000
0.911,6.688,0.000
0.875,6.469,0.000
0.874,5.953,0.000
0.960,7.063,0.000
10,1000000,
0.897,6.469,0.000
0.938,6.984,0.016
0.915,6.453,0.016
0.888,6.234,0.016
0.858,6.250,0.016
0.858,6.219,0.000
0.936,6.750,0.000
0.951,6.703,0.000
0.930,6.859,0.016
0.973,6.859,0.016
10,10000000,
0.846,5.953,0.016
0.940,6.875,0.000
0.925,6.703,0.000
0.919,6.703,0.047
0.866,6.500,0.000
0.900,6.516,0.016
0.936,6.891,0.000
0.875,6.500,0.000
0.954,6.953,0.000
0.904,6.781,0.000
10,100000000,
0.932,6.656,0.000
0.951,7.063,0.000
0.981,6.797,0.000
0.946,6.953,0.016
0.872,6.484,0.000
0.908,6.719,0.000
0.959,6.969,0.000
0.887,6.766,0.000
0.878,6.609,0.000
0.955,6.984,0.000
20,1,
3.036,5.750,18.078
3.035,6.078,17.891
3.069,5.813,18.281
2.968,6.266,17.172
3.102,6.203,18.156
3.048,6.000,18.063
3.047,5.938,18.047
3.001,6.203,17.422
3.046,5.844,18.109
3.051,5.594,18.375
20,10,
0.832,4.453,1.891
0.770,4.047,1.688
0.787,3.750,2.313
0.787,4.219,1.813
0.565,2.844,1.156
0.486,2.438,0.813
0.489,2.422,0.734
0.544,2.313,1.203
0.705,2.922,1.656
0.779,4.328,1.688
20,100,
0.646,4.797,0.016
0.684,5.141,0.031
0.658,4.734,0.063
0.630,4.516,0.031
0.620,4.594,0.031
0.641,4.656,0.031
0.650,4.875,0.047
0.660,4.828,0.047
0.622,4.563,0.031
0.663,4.734,0.063
20,1000,
0.642,4.750,0.016
0.631,4.734,0.016
0.703,5.281,0.000
0.622,4.531,0.000
0.651,4.609,0.047
0.649,4.922,0.016
0.617,4.531,0.031
0.679,5.125,0.016
0.632,4.766,0.000
0.666,4.984,0.000
20,10000,
0.734,5.500,0.000
0.691,5.188,0.016
0.571,4.156,0.000
0.640,4.766,0.000
0.652,4.906,0.000
0.680,5.031,0.016
0.641,4.828,0.016
0.683,5.109,0.016
0.619,4.516,0.000
0.625,4.547,0.000
20,100000,
0.722,5.406,0.000
0.621,4.531,0.016
0.690,5.063,0.000
0.672,5.063,0.016
0.648,4.625,0.031
0.630,4.766,0.000
0.699,5.297,0.031
0.643,4.750,0.031
0.643,4.766,0.000
0.626,4.672,0.031
20,1000000,
0.737,5.313,0.031
0.639,4.672,0.000
0.673,4.938,0.031
0.618,4.578,0.016
0.694,5.125,0.000
0.607,4.516,0.031
0.616,4.672,0.000
0.672,5.109,0.000
0.702,5.203,0.047
0.686,5.141,0.016
20,10000000,
0.737,5.625,0.000
0.616,4.656,0.016
0.663,5.016,0.016
0.632,4.656,0.000
0.623,4.641,0.016
0.651,4.906,0.000
0.685,5.063,0.000
0.602,4.469,0.000
0.668,4.938,0.000
0.651,4.594,0.016
20,100000000,
0.623,4.594,0.016
0.727,5.469,0.000
0.618,4.563,0.000
0.667,4.984,0.031
0.588,4.313,0.016
0.629,4.594,0.031
0.608,4.547,0.016
0.631,4.781,0.000
0.597,4.344,0.031
0.620,4.516,0.016
30,1,
3.140,6.078,18.563
3.020,5.656,17.844
3.069,6.578,17.688
2.992,6.219,17.219
2.990,5.563,17.828
3.001,5.891,17.500
3.042,6.563,17.406
2.992,5.984,17.578
3.009,5.938,17.547
3.004,5.422,18.188
30,10,
0.779,3.766,2.250
0.738,3.625,2.016
0.739,3.594,2.156
0.731,3.672,2.000
0.728,3.469,2.094
0.733,3.859,1.766
0.744,3.578,2.203
0.729,3.750,1.797
0.730,3.891,1.781
0.701,3.297,1.844
30,100,
0.689,5.219,0.000
0.639,4.844,0.016
0.639,4.875,0.016
